location_key,date,country_code,country_name,new_confirmed,new_deceased,cumulative_vaccine_doses_administered,population,population_male,population_female,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,latitude,longitude,area_sq_km,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,physicians_per_1000,average_temperature_celsius,relative_humidity,population_largest_city,area_rural_sq_km,area_urban_sq_km,life_expectancy,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate
AR,2020-01-01,AR,Argentina,3.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,23.5,64.426444,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-02,AR,Argentina,14.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,23.6875,65.073967,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-03,AR,Argentina,3.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,25.194444,59.669389,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-04,AR,Argentina,7.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,26.305556,53.485178,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-05,AR,Argentina,5.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,25.888889,57.126165,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-06,AR,Argentina,9.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,20.666667,50.019322,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-07,AR,Argentina,4.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,22.847222,45.904142,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-08,AR,Argentina,3.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,27.090278,44.23177,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-09,AR,Argentina,0.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,24.145833,60.604603,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
AR,2020-01-10,AR,Argentina,1.0,0.0,0.0,44938712.0,19523766.0,20593330.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0,449663446954.0,10006.0,-34.0,-64.0,2780400.0,21.8,5.9,8.8,2.5996,3.9901,23.743056,64.292409,15057273.0,2690269.0,55032.0,76.52,147.086,79.483,26.6,15.8
